name,state,school,weight,classification,year,wins,losses,placement,final_record,seed,opponents_beaten
Greyson Pettit,NJ,Delsea,132,OPEN,2026,5,0,1,5-0,21,Anthony DiAndrea|Sammy Spaulding|Richard DeLorenzo II|Colton Hagerty|Derek Sutphen
Anthony DiAndrea,NJ,Watchung Hills,132,OPEN,2026,2,1,2,2-1,3,Salvatore Borrometi|Wyatt Tolson
Gideon Gonzalez,NJ,Bergen Catholic,138,OPEN,2026,5,0,1,5-0,3,Brian Little|Chase Hansen|Isaias Hernandez|Jayce Cappello|Isa Kupa
Brian Little,NJ,St. Joseph Montvale,138,OPEN,2026,3,1,2,3-1,1,Amari Vann|Nicholas Pallitto|Armani Maglione
Robert Duffy,NJ,CBA,144,OPEN,2026,5,0,1,5-0,1,Ryan DeGeorge|Seach Hibler|Nate Keller|Justin Marcello|Luken Ramos
Ryan DeGeorge,NJ,Delbarton,144,OPEN,2026,4,1,2,4-1,2,Sowzrawca Tsay|Armani McCann|Tyler Yildiz|Adrian Harris
Sonny Amato,NJ,Rumson-Fair Haven,150,OPEN,2026,5,0,1,5-0,1,Nicholas Schwartz|Michael Craft|Owen Garriques|Colin Smyth|Muhammed Tafida
Nicholas Schwartz,NJ,Delbarton,150,OPEN,2026,4,1,2,4-1,2,Jackson Weller|Anthony Borrometi|Ethan Delacruz|Bryan Dougherty
Joey Canova,NJ,Bergen Catholic,157,OPEN,2026,5,0,1,5-0,9,Joey Monticello|Sean Love|Kage Jones|Joseph Ruiz|Jenier Soto Pastrana
Joey Monticello,NJ,Hanover Park,157,OPEN,2026,3,1,2,3-1,3,Luke Scholz|Charlie Bacinsky|Reid Angermeier
Jayden James,NJ,Delbarton,165,OPEN,2026,4,0,1,4-0,1,Ryan Gavrish|Manny Gusfa|Cameron Pote|Nicco Capaldo
Ryan Gavrish,NJ,St. John Vianney,165,OPEN,2026,4,1,2,4-1,6,Reid Clausi|Jake Clayton|Raymond Miller|Hutch Rhyne
Santino Rodriguez,NJ,Don Bosco,175,OPEN,2026,5,0,1,5-0,1,Gabe Logan|Cole Dunham|Ryan Engle|William Capizzi|Robert Fazzino
Gabe Logan,NJ,Delbarton,175,OPEN,2026,4,1,2,4-1,3,Brock Oizerowitz|Anthony Verdi|Olivier Paul|Ryan Sklavounos
Carl Betz,NJ,Delbarton,190,OPEN,2026,5,0,1,5-0,1,Nevin Mattessich|Alexander Reyes|Carmen Marano|True DiGuiseppe|Temiloluwa Odumbo
Nevin Mattessich,NJ,Don Bosco,190,OPEN,2026,4,1,2,4-1,2,Jaden Simpson|Luke Dougherty|Frank DiMarzio|Parker Needham
Tanner Hodgins,NJ,Howell,215,OPEN,2026,4,0,1,4-0,2,Nicolas Gonzalez|Andria Tatishvili|Grayson Abbruzzese|Cristian Garcia
Nicolas Gonzalez,NJ,Mount Olive,215,OPEN,2026,4,1,2,4-1,5,Dante DeLuca|Salvatore Marchese|Wyatt Sisco|Michael Borgia
Cristian Alvarez,NJ,St. Joseph Montvale,285,OPEN,2026,5,0,1,5-0,1,Mateo Vinciguerra|Jared Martini|Mohammad Targali|Jayson Fouche|Ahmad Fears
Mateo Vinciguerra,NJ,Woodstown,285,OPEN,2026,4,1,2,4-1,2,Thomas Borgia|Trent Levash|Jonah Jordan|Slayton D'Amico
Thomas Blewett,NJ,Middletown North,106,OPEN,2026,5,0,1,5-0,2,Will Cruz|Stephen Bagocius|Steven Vidal|Alex Spagnuolo|Luke Eberhard
